Num,Brand,Model_Name,Processor,Operating_System,Storage_MB,RAM_GB,Screen_Size,Touch_Screen,Price
145,ASUS,FX506HF-HN026W,Core i5,Windows 11 Home,1000,8,39.62,No,671.88
146,Infinix,ZL513,Core i5,Windows 11 Home,512,16,39.62,No,587.88
147,HP,14-dv2153TU,Core i5,Windows 11 Home,1000,16,35.56,No,803.99
148,HP,15s-fy5002TU,Core i5,Windows 11 Home,512,8,39.62,No,599.88
149,Infinix,XL28,Core i5,Windows 11 Home,512,8,39.62,No,359.88
150,CHUWI,FreeBook,Core i3,Windows 11 Home,512,12,34.29,Yes,407.88
151,ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512,16,39.62,No,935.88
152,HP,14-EC1019AU,Ryzen 5 Hexa Core,Windows 11 Home,512,16,35.56,No,659.88
153,ASUS,S3402ZA-KM502WS,Core i5,Windows 11 Home,-1,16,35.56,No,791.88
154,MSI,Thin GF63 12VF-663IN,Core i7,Windows 11 Home,2000,16,39.62,No,959.88
155,ASUS,X415EA-EK344WS,Core i3,Windows 11 Home,512,16,35.56,No,431.88
156,Acer,Aspire 3,Core i5,Windows 11 Home,512,16,39.62,No,539.88
157,HP,15-eg3079TU,Core i5,Windows 11 Home,512,16,39.62,No,803.88
158,HP,15s-fq5202TU,Core i5,Windows 11 Home,512,8,39.62,No,647.88
159,ASUS,M1605YA-MB551WS,Ryzen 5 Hexa Core,Windows 11 Home,1000,16,40.64,No,647.88
160,Lenovo,15ARH7,Ryzen 5 Hexa Core,Windows 11 Home,512,16,39.62,No,683.88
161,HP,15s-fy5003TU,Core i3,Windows 11 Home,512,8,39.62,No,455.88
162,HP,14-dv2153TU,Core i5,Windows 11 Home,1000,16,35.56,No,803.99
163,MSI,Thin GF63 12VF-268IN,Core i5,Windows 11 Home,2000,16,39.62,No,899.88
164,ASUS,X1605VAB-MB544WS,Core i5,Windows 11 Home,512,16,40.64,No,731.88
165,HP,15s-fq5112TU,Core i5,Windows 11 Home,512,16,39.62,No,695.88
166,HP,15s- fr5011TU,Core i5,Windows 11 Home,512,16,39.62,No,647.88
167,HP,15s-fq5007TU,Core i3,Windows 11 Home,512,8,39.62,No,467.88
168,HP,15s-fy5002TU,Core i5,Windows 11 Home,512,8,39.62,No,599.88
169,ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512,16,39.62,No,935.88
170,HP,15-fd0024TU,Core i7,Windows 11 Home,512,16,39.62,No,955.08
171,Lenovo,15IHU6,Core i5,Windows 11 Home,512,8,39.62,No,611.88
172,HP,14-EC1019AU,Ryzen 5 Hexa Core,Windows 11 Home,512,16,35.56,No,659.88
173,HP,15-eg3079TU,Core i5,Windows 11 Home,512,16,39.62,No,803.88
174,Infinix,INBook X1 Neo,Celeron Quad Core,Windows 11 Home,256,8,35.56,No,299.88
175,Lenovo,15ARH7,Ryzen 5 Hexa Core,Windows 11 Home,512,16,39.62,No,814.68
176,HP,15s-fq5202TU,Core i5,Windows 11 Home,512,8,39.62,No,647.88
177,HP,15-fd0011TU,Core i5,Windows 11 Home,512,8,39.62,No,725.88
178,DELL,Inspiron 3511,Core i3,Windows 11 Home,512,8,96.52,No,443.88
179,HP,HP Pavilion 15,Ryzen 5 Hexa Core,Windows 11 Home,512,8,38.1,No,611.88
180,Lenovo,15IRU8,Core i3,Windows 11 Home,512,8,39.62,No,539.88
181,MSI,GF63 Thin 11UCX-1496IN,Core i5,Windows 11 Home,4000,16,39.62,No,611.88
182,Lenovo,15IAU7,Core i3,Windows 11 Home,-1,8,39.62,No,431.88
183,HP,15s-fq5007TU,Core i3,Windows 11 Home,512,8,39.62,No,467.88
184,ASUS,X1605VAB-MB544WS,Core i5,Windows 11 Home,512,16,40.64,No,731.88
185,HP,15-fb0135AX,Ryzen 5 Hexa Core,Windows 11 Home,512,8,39.62,No,695.88
186,HP,15s-fy5003TU,Core i3,Windows 11 Home,512,8,39.62,No,455.88
187,HP,15s- fr4000TU,Core i5,Windows 11 Home,512,8,39.62,No,563.88
188,ASUS,M1605YA-MB551WS,Ryzen 5 Hexa Core,Windows 11 Home,1000,16,40.64,No,647.88
189,ASUS,X1504ZA-NJ521WS,Core i5,Windows 11 Home,512,8,39.62,No,575.88
190,HP,15-fe0027TU,Core i5,Windows 11 Home,512,16,39.62,Yes,1064.28
191,ASUS,G513RC-HN061W,Ryzen 7 Octa Core,Windows 11 Home,512,16,39.62,No,935.88
192,HP,15s- fr5011TU,Core i5,Windows 11 Home,512,16,39.62,No,647.88
193,HP,14-dv2153TU,Core i5,Windows 11 Home,1000,16,35.56,No,803.99
194,MSI,Thin GF63 12VF-268IN,Core i5,Windows 11 Home,2000,16,39.62,No,899.88
195,Infinix,XL30,Celeron Quad Core,Windows 11 Home,512,8,39.01,No,287.88
196,HP,15s-fy5002TU,Core i5,Windows 11 Home,512,8,39.62,No,599.88
197,HP,14-EC1019AU,Ryzen 5 Hexa Core,Windows 11 Home,512,16,35.56,No,659.88
198,ASUS,TN3402QA-LZ520WS,Ryzen 5 Hexa Core,Windows 11 Home,1000,8,35.56,Yes,707.88
199,DELL,Inspiron 3511,Core i5,Windows 11 Home,512,8,39.62,Yes,527.88
200,SAMSUNG,Galaxy Book3,Core i7,Windows 11 Home,512,16,39.62,No,1079.88
201,HP,15s-fq5007TU,Core i3,Windows 11 Home,512,8,39.62,No,467.88
202,HP,15s-fy5003TU,Core i3,Windows 11 Home,512,8,39.62,No,455.88
203,HP,15s-fy5007TU,Core i5,Windows 11 Home,512,8,39.62,No,635.88
204,ASUS,M1502QA-EJ741WS,Ryzen 7 Octa Core,Windows 11 Home,1000,16,39.62,No,599.88
205,HP,15s- fr4000TU,Core i5,Windows 11 Home,512,8,39.62,No,563.88
206,HP,15s- fr5011TU,Core i5,Windows 11 Home,512,16,39.62,No,647.88
207,SAMSUNG,Galaxy Book3,Core i5,Windows 11 Home,512,16,39.62,No,899.88
208,DELL,Vostro,Core i3,Windows 10,256,8,38.0,No,419.88
209,Infinix,INBook X2 Plus Core i7,Core i7,Windows 11 Home,1000,16,39.62,No,491.88
210,ASUS,E1404FA-NK321WS,Ryzen 3 Quad Core,Windows 11 Home,512,8,35.81,No,413.99
211,HP,14-dv2153TU,Core i5,Windows 11 Home,1000,16,35.56,No,803.99
212,HP,15s-fy5002TU,Core i5,Windows 11 Home,512,8,39.62,No,599.88
